Task ID,Task,ONET code,Unique Code,RAI_Type,RAI_Code,Application_Grouping,Application_Grouping_Code,Hydropower_Application_Code,Hydropower Application,RAI Technology Detail,Primary Performer,Performer capability,PR,Supporter,Supporter role,SR,Automation,Requirement,Performance,Limitations,Citation,Publication Year,Input Job Title,ONET Title,Additional Occupation Titles
M97,"Install, configure, and maintain supervisory control and data acquisition (SCADA) hardware, software, and communications used to monitor and control industrial processes.",49-2094.00,200.4.113,Digital Twins,200,Intelligent Security and Condition Monitoring,4,113,Support remote supervision of hydraulic safety conditions through centralized monitoring platforms.,Remote supervisory control and visualization,Human,O,O,RAI,O,O,3,Centralized monitoring dashboards; visualization interfaces; historical data storage,Improves situational awareness and decision support for operators,Does not replace on-site inspection or expert judgment,"Machalski, A.; Szulc, P.; Blonski, D.; Nycz, A.; Nemś, M.; Skrzypacz, J.; Satława, Z.; Janik, P.",2025,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M97,"Install, configure, and maintain supervisory control and data acquisition (SCADA) hardware, software, and communications used to monitor and control industrial processes.",49-2094.00,300.4.014,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,014,"Collect, validate, and transmit real-time hydraulic and operational monitoring data from hydropower plant equipment and hydraulic structures at distributed locations to centralized platforms to support continuous condition and safety awareness.",Networked sensors and industrial data acquisition (IoT-like monitoring),RAI,G,G,Human,O,O,7,"Online temperature, vibration, and electrical sensors; PLCs; communication networks; SCADA interfaces",Enabled continuous visibility of operating variables previously measured intermittently; improved situational awareness for operators,"Effectiveness depends on sensor placement, calibration, and data reliability; not all components are instrumented","Leguizamon-Perilla, A.; Rodriguez-Bernal, J.S.; Moralez-Cruz, L.; Farfán-Martinez, N.I.; Nieto-Londoño, C.; Vásquez, R.E.; Escudero-Atehortua, A.",2023,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M97,"Install, configure, and maintain supervisory control and data acquisition (SCADA) hardware, software, and communications used to monitor and control industrial processes.",49-2094.00,300.4.057,Internet of Things (IoT),300,Intelligent Security and Condition Monitoring,4,057,Integrate and manage hydraulic safety monitoring data to support centralized supervision and management.,"Cloud-supported data platform for storage, visualization, and reporting",Human,G,G,RAI,G,G,1,Cloud computing infrastructure; data platform; SCADA integration; micro-service architecture,Enabled centralized supervision across multiple monitoring sections and remote access via web/mobile,Cybersecurity and interoperability require ongoing management,"Ma, W.; Jin, H.; Pan, Z.; Ling, Q.; Deng, J.",2021,Instrumentation & Controls Technician,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Instrumentation & Controls Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,420.2.193,ROV,420,Equipment Fault Diagnosis and Predictive Maintenance,2,193,Gates and valve visual inspection,NA,RAI,Y,Y,Human,G,G,6,NA,NA,NA,NA,NA,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,420.2.178,ROV,420,Equipment Fault Diagnosis and Predictive Maintenance,2,178,"Visual inspection of trash racks, gates, penstocks",NA,RAI,Y,Y,Human,Y,Y,6,NA,NA,NA,NA,NA,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,420.4.053,Robotics - ROV,420,Intelligent Security and Condition Monitoring,4,053,"Inspect hydropower generation equipment and structures to identify physical defects, wear, or abnormal conditions without requiring human entry into hazardous environments.",Robotic inspection systems with remote operation and sensor-based perception,Human,O/Y,O,RAI,O/Y,O,2,"Inspection robots (crawler, legged, underwater), visual cameras, infrared sensors, sonar, remote control stations","Robots enabled in-situ inspection of generators, dams, and underwater structures, reducing the need for shutdowns and manual inspection",Limited autonomy; many systems rely on tele-operation; deployment constrained by complex geometries and harsh environments,Wu 2014; Liu et al. 2011; Li et al. 2014; Li et al. 2016,2016,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,100.3.114,Artificial Intelligence (AI),100,Hydrological Forecasting and Water-Resource Scheduling,3,114,Support reservoir operation and spillway control to maintain safe and efficient hydropower generation.,Fuzzy logic–based decision support and control,Human,O/Y,O,RAI,O/Y,O,2,"Reservoir level sensors, gate control systems, monitoring and control software",Fuzzy-based controllers demonstrate reasonable predictive accuracy and operational stability in reservoir control problems,Rule design and tuning require expert knowledge; performance depends on quality of input signals,Chang and Chang 2001; Reddy and Kumar 2010; Mousavi et al. 2017,2017,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,122.2.076,Unsupervised ML,122,Equipment Fault Diagnosis and Predictive Maintenance,2,076,Monitor operating conditions of hydropower plant equipment to detect deviations from nominal behavior.,Unsupervised machine-learning-based condition monitoring using a self-organizing map (SOM)–derived key performance indicator (KPI),RAI,G,G,Human,Y(validation and response improve reliability),Y,8,Large-scale sensor networks (≈600 analog signals); SCADA data; SOM neural network; KPI computation and thresholding; online monitoring infrastructure,"Detected >20 anomalous situations over ~16 months; identified anomalies earlier than Hotelling T² charts, in one case by ~20 days",Requires extensive data preprocessing; KPI thresholds require operator feedback; not fully unsupervised,"Betti, A.; Crisostomi, E.; Paolinelli, G.; Piazzi, A.; Ruffini, F.; Tucci, M.",2021,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,420.4.171,ROV,420,Intelligent Security and Condition Monitoring,4,171,Tunnel/dam/structure inspection,NA,RAI,Y,Y,Human,G,G,6,NA,NA,NA,NA,NA,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,120.4.051,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,051,Inspect hydroelectric plant and dam structures to identify surface cracks and visible structural defects.,Automated computer-vision-based structural inspection using image-processing techniques,RAI,G,G,Human,Y (validation improves reliability),Y,8,"High-resolution cameras capturing dam and plant surfaces; image-processing pipeline (grayscale conversion, edge detection, morphological operations) implemented in Python/OpenCV or MATLAB","Crack detection precision 92%, recall 85%, F1-score 88%; average processing time ~2.5 s/image","Performance sensitive to lighting, surface texture, and noise; fine or obscured cracks may be missed","Sheela, A.; Navneeth, S.; Yokeshwaran, M.; Sanjeevei, A.",2025,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,410.4.052,Robotics (Six-rotor UAV),410,Intelligent Security and Condition Monitoring,4,052,Inspect hydropower diversion pipelines to assess geometric integrity and support detection of structural defects.,Autonomous UAV-based inspection using 3D lidar point-cloud modeling and geometric fitting,RAI,G,G,Human,Y (validation and interpretation improve reliability),Y,8,Six-rotor UAV platform; 3D lidar; IMU; barometer; onboard computing; point-cloud processing pipeline implementing robust cylinder-like fitting (RCFIC),"Field tests showed >90% interior-point fitting accuracy across horizontal, oblique, and curved pipeline segments; fitted radii closely matched true pipe radius (~6.2 m)",Does not directly identify corrosion or cracks; inspection quality depends on point-cloud completeness and sensor noise,"Zhan, Q.; Zhang, J.; Sun, C.; Guo, F.; Zhao, X.; Gao, C.; Yang, L.; Shen, R.; He, B.",2024,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,450.4.054,Climbing Inspection Robots,450,Intelligent Security and Condition Monitoring,4,054,Inspect hydropower station corridors to identify structural defects and abnormal conditions in confined and steep-slope environments.,Rail-guided climbing inspection robot with robotic manipulation and visual sensing,RAI,G,G,Human,Y (oversight and interpretation improve reliability),Y,8,Ground-mounted rail system; linear transmission body; automatic walking drive device; multi-axis displacement robotic arm; onboard power system,Successfully operated on slopes up to 60° without derailment; minimum turning radius 1.5 m; stable operation in narrow corridors,Requires installation of rail infrastructure; limited to rail-accessible corridors,"Liu, Tong; Song, Mingfu; Tao, Yong; Hou, Xiaoqiang; Hu, Chuansheng; Xu, Yong; Yang, Jin; Yang, Hu",2024,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,400.4.056,Robotics,400,Intelligent Security and Condition Monitoring,4,056,"Inspect underwater diversion tunnels and pipelines to identify structural defects such as cracks, displacements, and material loss.",Long-distance tunnel ROV,RAI,G,G,Human,Y (supervision improves reliability),Y,8,Long-cable ROV; surface monitoring system; 3D sonar; high-sensitivity camera; image enhancement pipeline,"Accurate detection of cracks, shifting, and attachments in long, enclosed tunnels under flowing and muddy water",Interpretation of inspection results still requires human judgment; limited by sensor resolution,"Ouyang, J.; Huang, Q.; Yang, X.",2022,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,124.2.020,Artificial Neural Network (ANN),124,Equipment Fault Diagnosis and Predictive Maintenance,2,020,Detect incipient failures in hydropower equipment using operational and condition data.,"Data-driven fault detection (PCA, ANN, autoencoders, isolation forests)",RAI,O,O,Human,O,O,3,Time-series analytics pipelines; feature extraction; ML models,Precision often reported between 95–100% in controlled case studies,Poor generalization across plants; sensitivity to noise and concept drift,Widodo & Yang (2007); Zhao et al. (2019); Chen et al. (2020),2020,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,100.2.021,Artificial Intelligence (AI),100,Equipment Fault Diagnosis and Predictive Maintenance,2,021,Detect operating conditions consistent with equipment faults in hydropower plants to support timely maintenance response.,Unsupervised machine-learning–based fault and anomaly detection combined with multivariate statistical monitoring,RAI,G,G,Human,O (expert validation required before action),O,7,"• Plant-mounted sensors measuring vibration, bearing metal temperature, bearing oil temperature, and active power
• Data acquisition and monitoring systems (e.g., SCADA or equivalent)
• Computing environment for continuous or periodic data analytics and model inference","• Successfully identified fault periods in two real hydropower plants using operational data
• Fault indicators exceeded control limits during known fault events, aligning with manually recorded maintenance logs
• In some cases, abnormal conditions were detected hours before manual fault recognition","• Validation limited to two plants and a relatively short observation period
• Requires representative nominal (fault-free) data for training
• Does not identify physical root causes or specific faulty components
• Final fault confirmation and maintenance decisions remain human-driven","Hajimohammadali, F.; Fontana, N.; Tucci, M.; Crisostomi, E.",2023,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,124.2.072,Artificial Neural Network (ANN),124,Equipment Fault Diagnosis and Predictive Maintenance,2,072,Monitor hydropower plant operating conditions to detect and classify abnormal equipment behavior for predictive maintenance.,Machine-learning-based anomaly detection and multi-class fault classification using supervised and recurrent models,RAI,G,G,Human,"Y (configuration, interpretation, and validation improve reliability)",Y,8,"SCADA time-series data; sensors on turbine, generator, and hydraulic power unit (18 variables incl. pressures, temperatures, voltages, currents, power); Python (Pandas, NumPy, TensorFlow); DNN and LSTM models",Feed-forward NN achieved ~70% accuracy overall; LSTM achieved >90% training accuracy and ~88% validation accuracy; near-perfect detection (~99%) for generator axial bearing temperature failures,Performance varies across fault types; class imbalance required oversampling; evaluated on a single plant and historical data,"Velasquez, V.; Flores Castro, W.",NA,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,124.4.070,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,070,Monitor hydropower plant assets to identify abnormal operating conditions and deviations from expected performance.,"Condition-Based Monitoring (CBM) using statistical, AI, and hybrid analytics",RAI,O,O,Human,O,O,3,"Vibration, temperature, pressure, electrical sensors; DAQ systems; SCADA integration",Many studies report anomaly detection accuracy >90% for specific components,"Effectiveness depends on sensor coverage, data quality, and operating regime",Lei et al. (2018); Jardine et al. (2006); Tidriri et al. (2016),2018,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,200.2.107,Digital Twins,200,Equipment Fault Diagnosis and Predictive Maintenance,2,107,Support maintenance planning by identifying penstock sections most prone to fatigue and inspection priority.,Digital-twin-enabled diagnostic visualization,Human,G,G,RAI,G,G,1,Digital twin outputs; visualization dashboards,Enabled targeted inspections of fatigue-critical zones,Does not replace physical inspection; provides prioritization only,"Quaranta, E.et al.",2020,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,120.4.071,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,Anomaly detection using statistical and AI-based monitoring techniques,RAI,O,O,Human,O (validation and response required),O,3,Time-series data; anomaly detection algorithms; monitoring dashboards,Enables identification of deviations from normal operating patterns (qualitative evidence),Requires baseline definition; limited generalization across plants,"Vagnoni, E.; Gezer, D.; Anagnostopoulos, I.; Cavazzini, G.; Doujak, E.; Hočevar, M.; Rudolf, P.",2024,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,200.4.079,Digital Twins,200,Intelligent Security and Condition Monitoring,4,079,Monitor transient pressures along penstocks to assess structural loading during plant operation.,Real-time digital twin of hydropower plant (Hydro-Clone® RTSM),RAI,G,G,Human,Y,Y,8,SIMSEN simulation software; pressure sensors; data acquisition and transfer system,Continuous real-time estimation of pressure variations along waterways,Accuracy depends on sensor quality and calibration of the digital model,"Quaranta, E.et al.",2020,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,200.2.077,Digital Twins,200,Equipment Fault Diagnosis and Predictive Maintenance,2,077,Monitor the operating condition of giant hydropower units to detect anomalies and identify equipment faults.,Digital-twin-enabled condition monitoring with deep-learning-based anomaly detection and fault diagnosis,RAI,G,G,Human,Y (validation and response improve reliability),Y,8,"Multi-source sensors on turbine, generator, bearings, and auxiliary systems; DT platform; CNN–LSTM models; data preprocessing and visualization modules","Fault detection accuracy increased from ~74–80% (traditional) to ~90–96%; higher recall, F1, stability, and faster processing time than DAE-AT baseline",Requires large volumes of high-quality labeled data; performance may degrade with noisy or sparse data; real-time capability needs further optimization,"Wang, Wei; Feng, Lihang; Xi, Qiang; Liu, Feng",2025,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,124.4.071,Artificial Neural Network (ANN),124,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"AI-based monitoring and control support (ANN, fuzzy logic controllers, SOM)",Human,G,G,RAI,G,G,1,"Sensors, SCADA systems, ANN/FLC controllers, monitoring dashboards","Reviewed applications indicate improved stability, early abnormality recognition, and better part-load operation",Monitoring often requires expert interpretation; limited autonomous fault handling,"Kumar, K.; Saini, R.P.",2021,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,120.2.067,Machine Learning (ML),120,Equipment Fault Diagnosis and Predictive Maintenance,2,067,Monitor hydropower generation equipment operating data to identify abnormal behavior and gradual degradation that may indicate emerging mechanical faults.,Unsupervised machine-learning–based anomaly and degradation detection,RAI,G,G,Human,O (expert validation required),O,7,"High-frequency vibration and operational sensor data; auto-encoder, isolation forest, KitNet, RSHash, DeepSVDD; Python-based ML stack; offline training after major maintenance",Auto-encoder detected all recorded anomalies and proposed additional anomalies later confirmed by experts; inference time <5 s for 5-month dataset,Requires representative training data; sensitive to seasonal operating regimes; anomaly scores do not directly indicate fault type,"Fanan, M.; Baron, C.; Carli, R.; Divernois, M.-A.; Marongiu, J.-C.; Susto, G.A.",2023,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,124.2.005,Deep Learning,124,Equipment Fault Diagnosis and Predictive Maintenance,2,005,Assess and visualize the health status of hydropower units to support operation and maintenance decision-making.,Digital-twin-based health status (HS) assessment with quantitative health indicators and visual dashboards,Human,G,G,RAI,G (efficiency and analytical support),G,1,DT visualization interface; health indicator computation; historical and real-time operational datasets,Provides more comprehensive and stable HS evaluation; higher user satisfaction than traditional methods,Does not automate maintenance actions; depends on model calibration and data availability,"Wang, Wei; Feng, Lihang; Xi, Qiang; Liu, Feng",2025,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M94,"Inspect, maintain, and operate associated water-passage equipment such as spillway gates.¬†",51-8013.04,100.4.071,Artificial Intelligence (AI),100,Intelligent Security and Condition Monitoring,4,071,Monitor hydropower plant operating conditions to detect abnormal operating behavior or performance deterioration.,"Data-driven condition monitoring using ANN, SOM, and fuzzy logic",RAI,G,G,Human,O/Y,O,8.5,"Plant-mounted sensors, SCADA or equivalent monitoring systems, historical operational data",Reviewed studies report improved identification of abnormal operating regimes and early degradation indicators compared with manual monitoring,Mostly indirect validation; limited availability of labeled fault data; thresholds often expert-defined,Jain et al. 2018; Selak et al. 2014; Betti et al. 2021; Li et al. 2018,2021,Hydropower Plant Technician,Hydroelectric Plant Technicians,Hydropower Plant Technician
M93,Inspect hydropower generation facilities and hydropower component manufacturing plants to ensure compliance with environmental regulations (hydropower-specific).,17-2081.00,120.4.051,Machine Learning (ML),120,Intelligent Security and Condition Monitoring,4,051,Inspect hydroelectric plant and dam structures to identify surface cracks and visible structural defects.,Automated computer-vision-based structural inspection using image-processing techniques,RAI,G,G,Human,Y (validation improves reliability),Y,8,"High-resolution cameras capturing dam and plant surfaces; image-processing pipeline (grayscale conversion, edge detection, morphological operations) implemented in Python/OpenCV or MATLAB","Crack detection precision 92%, recall 85%, F1-score 88%; average processing time ~2.5 s/image","Performance sensitive to lighting, surface texture, and noise; fine or obscured cracks may be missed","Sheela, A.; Navneeth, S.; Yokeshwaran, M.; Sanjeevei, A.",2025,Environmental Engineer,Environmental Engineers,"Environmental Engineer
Civil Engineers"
M93,Inspect hydropower generation facilities and hydropower component manufacturing plants to ensure compliance with environmental regulations (hydropower-specific).,17-2081.00,420.4.053,Robotics - ROV,420,Intelligent Security and Condition Monitoring,4,053,"Inspect hydropower generation equipment and structures to identify physical defects, wear, or abnormal conditions without requiring human entry into hazardous environments.",Robotic inspection systems with remote operation and sensor-based perception,Human,O/Y,O,RAI,O/Y,O,2,"Inspection robots (crawler, legged, underwater), visual cameras, infrared sensors, sonar, remote control stations","Robots enabled in-situ inspection of generators, dams, and underwater structures, reducing the need for shutdowns and manual inspection",Limited autonomy; many systems rely on tele-operation; deployment constrained by complex geometries and harsh environments,Wu 2014; Liu et al. 2011; Li et al. 2014; Li et al. 2016,2016,Environmental Engineer,Environmental Engineers,"Environmental Engineer
Civil Engineers"
